product-base href,img-responsive src,product-brand,product-product
https://www.myntra.com/ethnic-dresses/scakhi/scakhi-floral-printed-silk-gown-maxi-ethnic-dresses/26127778/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26127778/2023/11/29/d5b129b6-bfdf-48cc-bb81-51997a416baf1701266613126MustardOrganzaFloralPrintEmbellishedAngrakhaGown1.jpg",SCAKHI,Silk Gown Ethnic Dresses
https://www.myntra.com/ethnic-dresses/bunaai/-bunaai-fit--flared-maxi-ethnic-dresses/29642444/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29642444/2024/5/18/962cea1a-553e-4e62-b4c1-cc701df2f7cc1716038832242OchreGeorgetteAnarkaliDresswithDupatta1.jpg",Bunaai,Maxi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/bunaai/bunaai-cotton-tiered-maxi-ethnic-dresses/29642446/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29642446/2024/5/21/9e264525-b753-4f95-a463-022ff776761f1716294636988BunaaiCottonTieredMaxiEthnicDresses1.jpg",Bunaai,Tiered Maxi Ethnic Dresses
https://www.myntra.com/dresses/trendyol/trendyol-women-navy-blue-bodycon-dress/19554320/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19554320/2022/8/19/b5e7299e-4dfb-4257-9a4f-af72368b5d2a1660902184483TrendyolNavyBlueBodyconDress1.jpg",Trendyol,Women Bodycon Dress
https://www.myntra.com/ethnic-dresses/anjushree+choice/anjushree-choice-floral-printed-embellished-fit-and-flare-ethnic-dresses/29760148/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29760148/2024/5/27/6016fa99-8278-4062-bb71-e583e74401451716769955886Kurtis1.jpg",AnjuShree Choice,Floral Printed Ethnic Dresses
https://www.myntra.com/ethnic-dresses/taavi/taavi-bagru-printed-pure-cotton-a-line-ethnic-dresses/27361894/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27361894/2024/5/25/3fcb26c3-70d8-4d02-b90a-83b207e1b9801716630424635-Taavi-Women-Ethnic-Dresses-1701716630424232-1.jpg",Taavi,Bagru Pure Cotton Ethnic Dress
https://www.myntra.com/dresses/colour+me+by+melange/colour-me-by-melange-floral-printed-cotton-tiered-a-line-midi-dress/29190356/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29190356/2024/4/25/3ba25bd8-2377-48dc-866a-78a3223830981714042937962ColourMebyMelangeFloralPrintMaxiDress1.jpg",Colour Me by Melange,Printed A-Line Midi Dress
https://www.myntra.com/ethnic-dresses/charukriti/charukriti-tie--dye-printed-fit--flare-midi-ethnic-dresses/29450012/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450012/2024/5/10/868847ef-bedf-4441-9cba-2e984755c2da1715315390476WhiteAndBlackRayonShiboriPrintedEthnicDress1.jpg",Charukriti,Fit & Flare Midi Ethnic Dress
https://www.myntra.com/ethnic-dresses/odd+by+chansi+trendz/odd-by-chansi-trendz-floral-printed-georgette-fit-and-flare-maxi-ethnic-dresses/29054978/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29054978/2024/4/18/e1668837-f360-4b69-95a5-d636726ddccf1713447919998EthnicDresses1.jpg",ODD BY chansi TRENDZ,Georgette Maxi Ethnic Dresses
https://www.myntra.com/dresses/pluss/pluss-tranquil-teal-solid-pleated-form-dress/17716880/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17716880/2022/4/12/fd6de693-033e-4185-980b-4f097a6bdf871649762757196-plusS-Women-Dresses-1121649762756739-1.jpg",plusS,Solid Pleated Form Dress
