Image ID,Image Source,Image Link
69e1ba8b-c23e-34a7-929f-5a7f95687209,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20457910/2022/10/19/0e9d574b-ee85-452a-b40b-8b8aea02da6a1666164758635SolidAdjustableStrapPolyRayonShortDress1.jpg"
e8f225e3-2b35-3372-b859-691facd5ae87,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20740712/2022/11/14/24df4f91-c558-464f-8e64-140a2350aece1668414642096KASMAsStylishOversizedDropShouldersWoolenSweaterDressforWome1.jpg"
4ea55ccc-271a-3d64-b03b-69d433d9e0e5,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/9/430f5417-e55a-4343-acba-0863c80154281578529981362-1.jpg"
29e98397-1af2-36d7-92ab-8a1bebb77a37,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23440614/2023/5/27/2c82703d-883e-42e4-8c26-0b1f02323ac51685166355156STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg"
44791d9c-8c54-37c1-aa5c-16c7dcac0d2b,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20856358/2022/11/28/b7e68fe4-10da-4566-9f2b-e2213b1ccb9a1669618656493-ANWAIND-Women-Clothing-Set-6651669618655921-1.jpg"
6e9ffa1e-f13f-3191-83a7-d3f237017e28,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21130128/2022/12/8/62387198-2952-4933-86fe-0f6cbc84033b1670509478894KiboWomensPeacockBluePuffedSleeveAsymmetricDress1.jpg"
cf4c948b-d9af-3085-8568-150340be3087,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/3/49a7de7f-24d1-4447-a9e4-2c9425c951f41612335480445-1.jpg"
f6d3f56d-4952-3b18-8680-ba1164b66f08,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28886102/2024/4/12/eb75776b-7b75-47e5-88f8-26330a59bcc71712913542019LULUSKYSheathDress1.jpg"
009c3e70-3cbb-38f0-a47c-ba175cf10edd,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20265184/2022/10/6/2fd55694-3bda-4f6b-9b65-d0f7cdd10bfe1665040164326-Trendyol-Burgundy-Bodycon-Mini-Dress-1181665040164084-1.jpg"
24ad3e8c-f575-3842-b964-4c19398c59e1,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23439960/2023/5/27/d24d0efd-6c9a-4a38-996b-5d29e5b64a181685176188471STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg"
2459585e-d412-3d29-a518-162c6abd40e0,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23431934/2023/5/26/cf106696-cf21-46d8-bf3f-6ab756e32e021685124333566STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg"
404be581-7a02-3b14-99a1-0db2eff18f06,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29961432/2024/6/13/8cc783a5-03ac-4077-b08b-2951389ae7371718303328999SHECZZARPUCoatedSheathMiniDress1.jpg"
f2687ad0-d8a9-390f-83ef-0d4c0c26477e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29672272/2024/5/21/6009a5ef-546c-4e70-b37d-467c0b9fef511716288950946BAESDScubaDress1.jpg"
d333fe7f-e7df-39b2-a47a-8d2238571e7e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24026906/2023/7/14/2d0ddfe9-9a59-420f-b5e5-de75c49094d41689337563578EthnicDresses1.jpg"
c8b56af7-a546-325b-b5ce-7bd2d0351db2,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22327120/2023/3/14/1ab4845e-8d1d-434a-adb1-ed5d03cdf1a61678797505693DustyPinkFoilPrintPeplumMaxiKurta1.jpg"
cf68e8dd-e921-30b3-bc59-fdf8001d9842,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21498186/2023/1/10/cd591159-4afa-4c89-8e44-1e6dbc9f06471673359929488GreenBandhaniPrintedCowlNeckKurta1.jpg"
e60d1e42-99e3-3fe4-a5a1-58516c130d3b,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27750968/2024/2/21/d5334f91-b0d7-4507-9ddc-ef13fc8fde181708508623990EthnicDresses1.jpg"
af6b0122-7cc7-3df2-9776-f85006fa36ea,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29658624/2024/5/21/f2d3a504-743d-4a1c-8ff0-519b6924b4d31716277699580EthnicDresses1.jpg"
7f708408-ffcc-32cb-8a72-05b59d59f73a,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28782334/2024/4/8/20febfed-d846-4e13-9f74-c6826c9afedd1712578209376SouchiiDress1.jpg"
0461d17a-c093-3f0d-af3a-7a3d51a64117,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25198044/2023/9/27/18848baf-b4e5-4298-b08b-f9eaff11575c1695807770247SangriaStripedALineEthnicDresses1.jpg"
18727f04-ba7e-3786-be1a-e2c8c9d12000,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26127778/2023/11/29/d5b129b6-bfdf-48cc-bb81-51997a416baf1701266613126MustardOrganzaFloralPrintEmbellishedAngrakhaGown1.jpg"
621b02c4-cc93-37e4-8b02-36926dc45ee1,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29642444/2024/5/18/962cea1a-553e-4e62-b4c1-cc701df2f7cc1716038832242OchreGeorgetteAnarkaliDresswithDupatta1.jpg"
71f0bcd2-8955-3ada-9e93-d2dc7e69533e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29642446/2024/5/21/9e264525-b753-4f95-a463-022ff776761f1716294636988BunaaiCottonTieredMaxiEthnicDresses1.jpg"
da9a5cf6-d73b-336b-ae62-9f560c281117,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19554320/2022/8/19/b5e7299e-4dfb-4257-9a4f-af72368b5d2a1660902184483TrendyolNavyBlueBodyconDress1.jpg"
3493e1f5-e982-39ab-8997-3c99323acce7,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29760148/2024/5/27/6016fa99-8278-4062-bb71-e583e74401451716769955886Kurtis1.jpg"
22968987-0257-33b2-9d1a-8339ec89822b,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27361894/2024/5/25/3fcb26c3-70d8-4d02-b90a-83b207e1b9801716630424635-Taavi-Women-Ethnic-Dresses-1701716630424232-1.jpg"
cca1ff70-b2eb-3ac0-8c20-e9c278ed2c76,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29190356/2024/4/25/3ba25bd8-2377-48dc-866a-78a3223830981714042937962ColourMebyMelangeFloralPrintMaxiDress1.jpg"
7186d231-d5f1-3cb3-b6c6-01176cd1c66e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450012/2024/5/10/868847ef-bedf-4441-9cba-2e984755c2da1715315390476WhiteAndBlackRayonShiboriPrintedEthnicDress1.jpg"
4aaa6a75-d652-3b38-92b8-86a588e4517b,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29054978/2024/4/18/e1668837-f360-4b69-95a5-d636726ddccf1713447919998EthnicDresses1.jpg"
23e8aa1e-c2eb-3b5f-9c8f-7ee00f4301c5,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17716880/2022/4/12/fd6de693-033e-4185-980b-4f097a6bdf871649762757196-plusS-Women-Dresses-1121649762756739-1.jpg"
3f6db16e-b127-367a-af2c-4cf029bceaa9,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29607266/2024/5/18/b62d58f0-6625-4f7f-a965-848f46e91cd01715979439901EthnicDresses1.jpg"
dfade575-71a7-365c-8851-098d6f97844d,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450024/2024/5/10/d63569c8-f128-433a-9fd5-c937821fe49a1715336934683CharukritiPrintedA-LineMidiEthnicDresses1.jpg"
867adbce-f009-306f-a407-46226ffb7ef7,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23662870/2023/6/17/33d1187a-3919-4c8d-8e57-5de7bf6d932b1686988400555AthenaAmpleGreenPuffSleeveFitFlareDress1.jpg"
bc4e1cc3-ce57-334c-a989-ab70f98233d2,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29716150/2024/5/23/4e821619-527f-4ba9-b1ec-309c8fb855f01716458811047EthnicDresses1.jpg"
89180c76-6630-3179-b38c-b687f2523cd8,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450022/2024/5/10/7a6db586-45a0-49e0-8eaa-53adf33622ab1715318304679YellowCottonSolidA-lineEthnicDressWithRuffle1.jpg"
6c288894-4a6c-3f42-8960-43612c1d749a,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28885716/2024/4/12/111dbbde-0f18-4b24-b189-5e24ec25678d1712913022192LULUSKYSheathDress1.jpg"
39279bee-0e5e-350b-bcee-fe5d10aa2f35,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27678012/2024/2/20/49071b22-8d02-417a-9084-f259a7cb788e1708421432614TrendyolBodyconDress1.jpg"
a4b6c3f6-f86f-3215-81ef-8cf3e541dc53,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17392810/2022/3/30/576f320f-6902-44e8-934b-4e4b1ece5f561648616503007-plusS-Women-Dresses-7601648616502580-1.jpg"
9f0909cb-6ff3-32ee-97a3-a33319c3a142,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27189390/2024/1/24/56fcfe71-a48f-448d-8ff9-51a0ec1144571706106803557KVSFABPeachGeorgetteSequenceEmbroideredFlaredA-LineGown5.jpg"
a5308e97-f758-366e-a235-936e59e08938,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27737786/2024/2/21/2edf15b1-0b21-4ffa-a015-40c73a4d184d1708501416839PINACOLADACapeSleeveSheathDress1.jpg"
e2250239-6f00-3857-9daf-8bb021b54e56,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25397830/2023/10/9/820a5573-0e29-4dde-a8d1-582f86d15fbc1696819084113plusSOrangeFloralPrintMaxiDress1.jpg"
aeae2050-983a-3c59-8826-6f7e04a8176e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27950194/2024/2/29/7f2d791b-cfb5-4925-adb6-83603da06d9e1709203321156WomenFitandFlarePrintedViscoseRayonEthnicDresses1.jpg"
1c7adc44-2971-39a1-a1f5-3004d9057c81,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24666766/2023/8/25/965a6f73-a884-46fb-9699-5433feb1db601692970786298EthnicDresses1.jpg"
fc7ef09d-31c9-3f82-a2e4-3f4135b680b0,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23433582/2023/5/26/23f04542-a059-4911-bf29-175a0e61ca3e1685119876195BibaYellowEthnicMotifsPrintA-LineMidiDress1.jpg"
8c8d9dfd-8e42-368d-bce0-cd54812fd524,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29663414/2024/5/22/f4ec011b-2652-4033-83ad-8e3fa9d88c631716359436000MialofashionWomenFloralPrintedMaternityFeedingEthnicDresses1.jpg"
5fc86290-e763-390a-ae8d-80f4cfbb6fee,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27532960/2024/2/13/96c8ce23-8fd2-40c2-adc0-64b1eb3f3ef41707799936754TrendyolDress1.jpg"
69fbc4cd-43ee-3168-a74e-edc4d5785f66,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27731660/2024/2/20/1d909222-3924-48b4-b153-7697823243701708444687708DELANJacquardShirtDress1.jpg"
801b73c4-2358-361b-a724-b0a1faf4587e,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22955580/2023/4/29/f4522260-9cd9-4b4e-948d-f4f405f34f5a1682763967454EthnicDresses1.jpg"
43abdc19-bd86-3a32-901d-67383509bf89,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24403606/2023/9/5/ae3e3091-a6b9-4092-a88b-f8f417a942bc1693913652473DressesBoohooWomenTopsBoohooWomenDressesBoohooWomenJumpsuitB1.jpg"
a33800dd-37bb-32ae-9a43-01af1f12772a,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19134290/2022/7/16/003d310b-f516-4c83-9af7-5c30379c6c3d1657951257851GreenGeoMixPrintA-LineDress1.jpg"
a7ed1b61-b92e-3ca0-90ed-32e365616fc0,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24909928/2023/9/11/f4b12745-d6b7-498c-a574-857f5d9eca771694425312070NITVANWomenOrangeEthnicMotifsPrintedFlaredSleevesBlockPrintM1.jpg"
6480fc48-719a-38fe-8feb-984036330baa,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24753364/2023/12/6/6c662ac0-2d5f-4897-b630-ce719c4984571701856905371-bebe-Women-Dresses-2691701856905046-1.jpg"
f25e779e-0346-3370-9d2a-927ebc450df5,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25440318/2023/10/11/8ea5f1c8-1f35-44fd-a872-47f13de9351b1697012735654PUKHYAWomensViscosePrintedFullSleeveAnarkaliFitFlaredDress1.jpg"
b0aadbdd-6109-336a-afcb-1d4c7e53f824,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28531366/2024/3/27/a9f70722-6d74-4591-b378-c2d026aa737f1711528713656EthnicDresses1.jpg"
75f9c2e3-087d-37d4-9924-717695804540,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28774548/2024/5/15/3af4a183-8dab-4c2b-9510-a4b1494894ab1715758209580MANGOPrintedPuffSleeveA-LineMidiDress1.jpg"
